Angle（deg）,Width（mm）
0.703,81.1
4.219,75.3
8.613,68.8
13.887,57.2
14.678,57.3
18.457,51.5
21.973,43.7
25.049,39.6
26.455,36.9
27.773,34.2
29.355,31.3
32.08,26.4
34.453,21.5
36.211,19.5
40.869,10.2
41.748,7.2
45.000,0.0
