Angle（deg）,Width（mm）
-0.09,92.3
2.37,86
4.043,80
5.977,75.6
7.998,69
10.195,61.3
12.129,55
14.238,46.2
15.996,40.3
18.018,33.1
20.127,25.3
22.061,16.7
24.258,9.7
26.8,0.0
